id,title,category,brand,condition,age_months,asking_price,location
1,iPhone 12,Mobile,Apple,Good,24,35000,Mumbai
2,Redmi Note 11,Mobile,Xiaomi,Like New,8,11000,Delhi
3,OnePlus Nord 2,Mobile,OnePlus,Fair,30,15000,Bangalore
4,Dell Inspiron Laptop,Laptop,Dell,Good,36,28000,Pune
5,HP Pavilion Gaming,Laptop,HP,Like New,12,45000,Hyderabad
6,Samsung Galaxy S21,Mobile,Samsung,Good,20,32000,Chennai
7,Nike Air Max Shoes,Fashion,Nike,Like New,6,4000,Kolkata
8,Sofa Set,Furniture,UrbanLadder,Good,48,12000,Gurgaon
9,LG Smart TV 43 inch,Electronics,LG,Good,18,22000,Jaipur
10,Canon EOS 200D Camera,Camera,Canon,Like New,14,32000,Ahmedabad
11,MacBook Air 2020,Laptop,Apple,Good,30,55000,Mumbai
12,Motorola G60,Mobile,Motorola,Fair,28,9000,Delhi
13,Wooden Dining Table,Furniture,Ikea,Good,40,15000,Bangalore
14,Adidas Ultraboost Shoes,Fashion,Adidas,Like New,10,5000,Pune
15,PlayStation 4,Electronics,Sony,Good,60,18000,Hyderabad
16,iPhone 13 Pro,Mobile,Apple,Like New,12,65000,Mumbai
17,Samsung Galaxy M32,Mobile,Samsung,Good,15,12000,Delhi
18,Lenovo ThinkPad E14,Laptop,Lenovo,Fair,42,22000,Bangalore
19,Asus ROG Gaming Laptop,Laptop,Asus,Good,18,55000,Pune
20,Sony WH-1000XM4 Headphones,Electronics,Sony,Like New,8,18000,Chennai
21,Ikea Study Chair,Furniture,Ikea,Good,24,3500,Mumbai
22,Canon 1500D DSLR,Camera,Canon,Fair,36,25000,Hyderabad
23,iPhone 11,Mobile,Apple,Fair,36,28000,Kolkata
24,Mi 11X,Mobile,Xiaomi,Good,20,18000,Jaipur
25,HP Envy Laptop,Laptop,HP,Like New,6,42000,Ahmedabad
26,Wooden Wardrobe,Furniture,HomeTown,Good,60,8000,Gurgaon
27,Nike Revolution Shoes,Fashion,Nike,Fair,18,2500,Delhi
28,Samsung 55 inch Smart TV,Electronics,Samsung,Good,24,35000,Mumbai
29,Nikon D5600 Camera,Camera,Nikon,Like New,10,38000,Bangalore
30,Realme GT Neo 2,Mobile,Realme,Good,16,19000,Pune
31,Dell XPS 13,Laptop,Dell,Good,28,48000,Chennai
32,Puma Sports Shoes,Fashion,Puma,Like New,4,3200,Hyderabad
33,LG 32 inch Monitor,Electronics,LG,Good,20,12000,Mumbai
34,Office Chair Executive,Furniture,Godrej,Fair,48,4000,Kolkata
35,iPhone SE 2020,Mobile,Apple,Good,30,18000,Delhi
36,OnePlus 9R,Mobile,OnePlus,Like New,14,25000,Jaipur
37,MacBook Pro 2019,Laptop,Apple,Fair,48,68000,Ahmedabad
38,Sony Alpha A6000,Camera,Sony,Good,40,28000,Bangalore
39,Adidas NMD Shoes,Fashion,Adidas,Good,12,4500,Gurgaon
40,Samsung Refrigerator,Electronics,Samsung,Good,36,22000,Mumbai
41,Xiaomi Mi 11,Mobile,Xiaomi,Good,22,21000,Pune
42,Asus VivoBook,Laptop,Asus,Like New,8,32000,Chennai
43,Wooden Coffee Table,Furniture,Pepperfry,Good,30,6000,Hyderabad
44,Canon EF 50mm Lens,Camera,Canon,Like New,12,8000,Delhi
45,Vivo V21,Mobile,Vivo,Fair,26,16000,Bangalore
46,Gaming Chair RGB,Furniture,Green Soul,Good,15,8500,Mumbai
47,JBL Flip 5 Speaker,Electronics,JBL,Like New,9,4500,Kolkata
48,iPhone 12 Mini,Mobile,Apple,Good,28,38000,Jaipur
49,Acer Aspire 5,Laptop,Acer,Fair,40,24000,Ahmedabad
50,Dining Table 6-seater,Furniture,UrbanLadder,Good,45,18000,Gurgaon
51,Samsung Galaxy Tab S7,Electronics,Samsung,Like New,11,35000,Mumbai
52,OnePlus Nord CE,Mobile,OnePlus,Good,19,14000,Delhi
53,HP Omen Gaming,Laptop,HP,Good,16,52000,Bangalore
54,Nikon 70-300mm Lens,Camera,Nikon,Fair,30,12000,Pune
55,Reebok Running Shoes,Fashion,Reebok,Like New,5,2800,Chennai
56,TCL 43 inch Smart TV,Electronics,TCL,Good,22,18000,Hyderabad
57,Oppo Reno 6,Mobile,Oppo,Good,17,22000,Mumbai
58,MacBook Air M1,Laptop,Apple,Like New,10,78000,Kolkata
59,Wooden Bookshelf,Furniture,Ikea,Good,35,7500,Delhi
60,Sony FX30 Camera,Camera,Sony,Like New,6,45000,Jaipur
61,Redmi Note 10 Pro,Mobile,Xiaomi,Fair,32,13000,Ahmedabad
62,Lenovo IdeaPad Slim,Laptop,Lenovo,Good,25,28000,Bangalore
63,Bean Bag Chair,Furniture,Solimo,Like New,8,2200,Gurgaon
64,Marshall Acton Speaker,Electronics,Marshall,Good,14,8500,Mumbai
65,Samsung Galaxy A52,Mobile,Samsung,Good,21,15000,Pune
66,Asus TUF Gaming,Laptop,Asus,Like New,7,48000,Chennai
67,Canon EOS M50,Camera,Canon,Fair,38,22000,Hyderabad
68,Converse All Star,Fashion,Converse,Good,14,3000,Delhi
69,Mi Band 6,Electronics,Xiaomi,Like New,12,1800,Mumbai
70,iPhone 13,Mobile,Apple,Good,15,58000,Bangalore
